doc_id	adu_id	char_offset	document_predicted	adu_context_predicted	document_probability	adu_context_probability	left_context	right_context
micro_b016	a1	101	true	true	0.99690324	0.96805465	ie Idee des Bachelorstudiums ist, die Gesamtnote aus zahlreichen Einzelleistungen zusammenzusetzen,	um die Endnote zu generieren. Dies entspricht auch eher der späteren Arbeitswelt, in der Leistung ni
micro_b016	a2	183	true	true	0.76728481	0.73993629	zusammenzusetzen, um die Endnote zu generieren. Dies entspricht auch eher der späteren Arbeitswelt,	in der Leistung nicht singulär, sondern regelmäßig und über längere Zeit hinweg erbracht werden soll
micro_b016	a2	215	true	true	0.95563716	0.92473298	zu generieren. Dies entspricht auch eher der späteren Arbeitswelt, in der Leistung nicht singulär,	sondern regelmäßig und über längere Zeit hinweg erbracht werden soll. Daher macht es Sinn, dass die
micro_b017	a4	296	true	true	0.92813343	0.88145554	ie höheren Mieten zu zahlen, aber dass Menschen mit gleichem Einkommen plötzlich mehr zahlen sollen	und nicht mehr in der selben Wohnung leben dürfen, scheint unplausibel. Die Gentrifizierung zerstört
micro_b019	a2	94	false	true	0.43854964	0.63655853	Es ist erstrebenswert, dass niemand sein Vermögen am Fiskus vorbeischleust. Wer dies doch tut	oder versucht, sollte nach Möglichkeit zur Rechenschaft gezogen werden. Andererseits werden aus staa
micro_b019	a2	109	true	true	0.90309358	0.87769216	strebenswert, dass niemand sein Vermögen am Fiskus vorbeischleust. Wer dies doch tut oder versucht,	sollte nach Möglichkeit zur Rechenschaft gezogen werden. Andererseits werden aus staatlichen Mitteln
micro_b023	a4	238	false	true	0.37111998	0.50795025	n menschlichen Irrtümern. Deshalb sollte Deutschland die Todesstrafe nicht einführen! Jeder Mensch,	auch der, der ein verurteilungswürdiges Verbrechen begangen hat, kann sich zu einer bereuenden Meinu
micro_b024	a3	245	true	true	0.99191189	0.96267736	app. Zudem ist ein hoher Luxusgrad (teure Wohnungen) für die Mehrheit der Menschen nicht notwendig,	sondern vielmehr eine Wohnung überhaupt. Außerdem muss jeder in seinem Leben ca. 3-10 Mal umziehen,
micro_b029	a4	382	true	true	0.96622002	0.95323032	ch Rechtlichen Sender zumindest indirekt nutzt. Es ist jedoch nicht möglich, dies zu kontrollieren,	um differenzierte Gebühren zu erheben. Ebenso, wie andere Angebote der Kultur oder Infrastruktur, si
micro_b029	a5	480	true	true	0.66175014	0.73585993	, um differenzierte Gebühren zu erheben. Ebenso, wie andere Angebote der Kultur oder Infrastruktur,	sind auch die Öffentlich Rechtlichen Sender unabhängig davon zu finanzieren, ob der Einzelne dieses
micro_b031	a4	296	true	true	0.85261303	0.80656451	eren von einer Untat abhalten. Jedem muss die Gelegenheit gegeben werden, sein Gewissen zu schärfen	und seine Tat möglichst wieder gutzumachen.
micro_b032	a4	245	true	true	0.97634637	0.92802489	andere Tiere dürfen keine Haufen auf die Gehwege setzen. Entsorgt man die Haufen selbst und sofort,	ist eine Geldbuße nicht erforderlich.
micro_b034	a4	257	true	true	0.98165268	0.98329723	ung sind Grundrechte, die der Staat, die Gesellschaft leisten müssen. Fehlt den Universitäten Geld,	muss nach Sponsoren gesucht werden. Leider kann dies in manchen Fällen zu unliebsamen Abhängigkeiten
micro_b035	a2	158	true	true	0.91506922	0.86479443	ndheitsfördernde Behandlungsmethoden, die häufig preiswerter als Medikamente der Schulmedizin sind,	die ja auch bezahlt werden. Oft sind Naturheilverfahren für die Patienten nicht so sehr belastend. D
micro_b035	a5	468	true	true	0.64868242	0.50916690	assen müssen befähigt werden, die Entscheidung des Arztes für eine Naturheilbehandlung anzuerkennen	und auch zu bezahlen.
micro_b036	a4	380	true	true	0.94739771	0.87025130	fördert und gefordert, so z.B. Planungsfähigkeit, Reaktionsschnelligkeit und Kombinationsfähigkeit,	um nur einige zu nennen. Einige Videospiele sind bezüglich ihrer Anforderungen zwar nicht sportlich
micro_b038	a6	573	true	true	0.72396344	0.68731791	dividualität hervor, doch ist das, was an heutigen Schulen fehlt, eher der echte Gemeinschaftssinn,	der durch ein gleiches gemeinsames Auftreten unter Umständen gestärkt wird.
micro_b039	a6	566	true	false	0.50231838	0.36365223	Umwälzungen selbst fertig werden muss, doch bringt politische Macht auch politische Verantwortung,	in diesem Fall die Verantwortung, das ukrainische Volk vor der zu starken Einflussnahme der beiden G
micro_b040	a4	405	true	true	0.91522408	0.88926721	liches Urinieren eines Menschen höher als für das Liegenlassen eines Hundehaufens auf dem Gehsteig,	was unangemessen ist. Manche Hundebesitzer meinen, das Zahlen von Hundesteuer bezahle auch die Besei
micro_b040	a6	576	true	true	0.98156869	0.98059660	steuer bezahle auch die Beseitigung derartiger Verschmutzungen, doch würde man dieser Logik folgen,	so wäre der steuerzahlende Bürger für kaum mehr ein Delikt zur Verantwortung zu ziehen.
micro_b041	a1	50	true	true	0.99476492	0.99562573	Geheimdienste müssen stärker kontrolliert werden,	um ein zu ausuferndes Überwachen zu verhindern. Geheimdienste neigen nämlich zu einem Eigenleben (St
micro_b041	a4	340	true	true	0.99365634	0.95636922	enste in die Privatsphäre der Bürger massiv ein und müssen schon deshalb stark kontrolliert werden,	um Missbrauch zu verhindern. Parlamentarische Kontrolle macht aber die Arbeit von Geheimdiensten sch
micro_b042	a1	119	true	true	0.99904197	0.99103397	medizinisches Produkt bzw. eine medizinische Behandlung nicht aus moralischen Gründen einschränken,	solange sie niemand anderen schädigt. Aber ohne Rezeptpflicht fällt auch die ärztliche Beratung vor
micro_b042	a5	548	true	true	0.78456694	0.70364100	e außerdem dazu führen, dass sie als bequemerer Weg gegenüber anderen Verhütungsmethoden erscheint,	die gesundheitlich aber weniger Folgewirkungen haben. Beispielsweise könnte die Pille danach den Ein
micro_b042	a6	685	true	true	0.99550807	0.95247984	wirkungen haben. Beispielsweise könnte die Pille danach den Einsatz von Kondomen zurückgehen lassen	und so die Aidsneuansteckungen steigen lassen.
micro_b044	a1	84	true	true	0.99129152	0.93892676	Berlin Tegel ist als zentrumsnaher Flughafen gerade für Geschäftsreisende attraktiv	und sollte unbedingt offen bleiben. Er ist ein Wirtschaftsfaktor. Die negativen Auswirkungen des Flu
micro_b045	a1	118	true	true	0.99631846	0.98948330	on illegal erworbenen Steuerdaten von Bürgern macht sich der Staat selbst nicht nur zum Verbrecher,	sondern bezahlt auch noch Kriminelle. Zudem ist der Ankauf solcher CDs ist heute unnötig, da viele B
micro_b049	a3	186	true	true	0.99635917	0.98395419	ums wieder. Aber man kann sich in der Bachelor-Arbeit mal irren. Wenn diese stärker gewichtet wird,	könnte das viele gute Einzelleistungen des Studiums stark überdecken. Eine gute Benotung der Arbeit
micro_b054	a2	116	true	true	0.95013362	0.84182900	ht seit Jahren Wohnungsmangel, sodass eine Nutzung des Tempelhofer Feldes, das viel Freiraum bietet	und zurzeit kaum bebaut ist, als Wohnraum eine sinnvolle Idee ist. Da die Fläche dem Land bzw. dem B
micro_b054	a6	560	true	true	0.98611975	0.99559104	keiten geworden. Wenn man einen Kompromiss aus Grünfläche und sozialem Wohnungsgebiet finden würde,	sollte das Tempelhofer Feld auf jeden Fall für den Wohnungsbau zur Verfügung stehen.
micro_b055	a3	156	true	true	0.87108821	0.72793454	r das rezeptfreie Erhalten der „Pille danach“ in der Apotheke aus. Aus medizinischer Sicht gesehen,	ist die „Pille danach“ am wirksamsten, wenn sie möglichst schnell nach dem Verkehr eingenommen wird.
micro_b055	a3	195	true	true	0.98298866	0.95368755	anach“ in der Apotheke aus. Aus medizinischer Sicht gesehen, ist die „Pille danach“ am wirksamsten,	wenn sie möglichst schnell nach dem Verkehr eingenommen wird. Wenn jedoch immer erst ein Gang zum Ar
micro_b055	a4	366	true	true	0.96030712	0.98391682	ch immer erst ein Gang zum Arzt (mit Fahr- und Wartezeiten, möglichem Schamgefühl, etc.) nötig ist,	führt dies zu mehr ungewollten Schwangerschaften. Viele Gegner der Pille führen jedoch an, dass dami
micro_b055	a5	501	true	true	0.98683989	0.93083370	angerschaften. Viele Gegner der Pille führen jedoch an, dass damit die Beratung des Arztes wegfällt	und viele Frauen sie unnötig einnehmen. Allerdings ist es so, dass wir Apotheker gesetzlich dazu ver
micro_b055	a6	643	true	true	0.95741719	0.91661668	lerdings ist es so, dass wir Apotheker gesetzlich dazu verpflichtet sind, die Patienten aufzuklären	und dasselbe Fachwissen besitzen, wie Ärzte.
micro_b056	a1	60	true	true	0.89820606	0.67076522	Der Bruch des Völkerrechts sollte wohl mehr als genug sein,	um über eine Reaktion nachzudenken! Die Menschheit hat in ihrer Geschichte genug Fehler gemacht, ind
micro_b056	a2	157	true	true	0.99776185	0.97666055	n, um über eine Reaktion nachzudenken! Die Menschheit hat in ihrer Geschichte genug Fehler gemacht,	indem sie zulange gewartet hat und als sie dann reagierte, blieb meist nur noch der Krieg. Allerding
micro_b056	a2	188	true	true	0.99366355	0.95637673	denken! Die Menschheit hat in ihrer Geschichte genug Fehler gemacht, indem sie zulange gewartet hat	und als sie dann reagierte, blieb meist nur noch der Krieg. Allerdings kann in unserer zivilisierten
micro_b056	a2	216	true	true	0.94923347	0.77538866	n ihrer Geschichte genug Fehler gemacht, indem sie zulange gewartet hat und als sie dann reagierte,	blieb meist nur noch der Krieg. Allerdings kann in unserer zivilisierten Welt, in einem demokratisch
micro_b057	a1	51	true	false	0.54200900	0.49738288	Mit 63 in Rente, das hat sich wohl jeder verdient,	"der bis hierhin (ununterbrochen) geschuftet hat. Nur bleibt die Frage, ob es mit der frühen ""Freizei"
micro_b057	a2	168	true	true	0.98842001	0.97349542	"ununterbrochen) geschuftet hat. Nur bleibt die Frage, ob es mit der frühen ""Freizeit"" schöner wird,"	wenn man nicht weiß, was man den ganzen Tag machen soll und statistisch noch knapp 20 (!!!) Jahre zu
micro_b057	a2	224	true	true	0.96765018	0.96920705	"es mit der frühen ""Freizeit"" schöner wird, wenn man nicht weiß, was man den ganzen Tag machen soll"	und statistisch noch knapp 20 (!!!) Jahre zu leben hat? Auch übernimmt man so keine Verantwortung fü
micro_b057	a3	344	true	true	0.99324811	0.99510682	knapp 20 (!!!) Jahre zu leben hat? Auch übernimmt man so keine Verantwortung für die Gesellschaft,	wenn man aus persönlichen/privaten Gründen seine erfahrene, gesunde und qualitativ hochwertige Arbei
micro_b057	a4	496	true	false	0.56440175	0.49685052	ahrene, gesunde und qualitativ hochwertige Arbeitsfähigkeit früher als nötig aufgibt. Gerade jetzt,	da Fachkräftemängel auftreten, ist es unverantwortlich für die Wirtschaft und den Wohlstand mit 63 i
micro_b057	a4	527	true	true	0.72562915	0.74482316	hochwertige Arbeitsfähigkeit früher als nötig aufgibt. Gerade jetzt, da Fachkräftemängel auftreten,	ist es unverantwortlich für die Wirtschaft und den Wohlstand mit 63 in Rente zu gehen.
micro_b058	a4	336	true	true	0.99216276	0.90719813	chauer weniger spannend, als für den Spieler selbst, aber auch für aktuelle olympische Disziplinen,	ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf, muss man mehr als ein Freak sein, sich
micro_b058	a4	398	true	true	0.98839092	0.93072402	für aktuelle olympische Disziplinen, ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf,	muss man mehr als ein Freak sein, sich das länger als in der Zusammenfassung reinzuziehen. Außerdem
micro_b058	a6	596	true	true	0.98697388	0.93463814	m ist die Hürde, Videospiele olympisch zu machen minimal, braucht es ja nicht mal Dopingkontrollen,	sondern nur eine neutrale Konsole. Und körperliche, geistige und insbesondere mentale Fähigkeiten ve
micro_b058	a7	726	true	true	0.99284512	0.99465925	ole. Und körperliche, geistige und insbesondere mentale Fähigkeiten verlangt so manches Videospiel,	wenn ich an das Finale des letzten Fifa-Turniers denke, mehr ab, als eine Kugel 20 Meter weit zu sto
micro_b061	a1	49	true	true	0.98894203	0.99064082	Höhere Geldstrafen für Hundehaufen sind sinnlos,	solange es nicht genügend Personal gibt, um sie durchzusetzen. Im Einzelfall mögen sie tatsächlich a
micro_b061	a1	90	true	true	0.79056948	0.82159901	Höhere Geldstrafen für Hundehaufen sind sinnlos, solange es nicht genügend Personal gibt,	um sie durchzusetzen. Im Einzelfall mögen sie tatsächlich auch abschreckend wirken, im Allgemeinen w
micro_b062	a5	391	true	true	0.99553949	0.99226135	hmer gehobenen Alters Anspruch auf den Renteneintritt hätten. Das schädigt den Standort Deutschland	und hinterlässt die Arbeitgeber ohne Übergangsfrist. Hier besteht die Gefahr, dass nicht ausreichend
micro_d02	a3	173	true	true	0.99930966	0.99911100	ade in den Heimspielen blieb die Mannschaft oft hinter den Erwartungen zurück. Trauriger Höhepunkt:	Im ausverkauften Stadion 60:87 gegen schwächelnde Mannheimer verlieren. Zwar landete die Mannschaft
micro_d03	a2	103	true	true	0.96317774	0.84105134	in unsere Fußballmannschaft aufzunehmen war ganz klar ein Fehler. Er ist einfach kein Teamspieler,	macht häufig Alleingänge. Außerdem kommt er viel zu selten zum Training, wenngleich er auch ohne Tra
micro_d04	a5	354	true	true	0.99655789	0.98927617	bekannt gewordene Bedrohungen reagieren können. Aber ist für einen neuen Virus ein Schutz gefunden,	erhalten ihn alle in Windeseile mit dem automatischen Update.
micro_d05	a2	89	false	true	0.42718196	0.53511298	Heute werde ich mein Facebook-Konto löschen. Nicht nur weil ich mich regelmäßig wundere,	wer da alles zu meinen Freunden gehören will. Ich habe auch keine Lust mehr, mit meinen Daten den Bö
micro_d05	a4	260	false	true	0.38958898	0.62999749	mehr, mit meinen Daten den Börsenwert dieses Unternehmens zu steigern. Facebook warnt eindringlich,	ich könnte den Kontakt zu meinen Freunden verlieren. Dabei werde ich jetzt erst recht Zeit für meine
micro_d06	a5	223	true	false	0.56653416	0.44437483	mpft stetig. Zwar könnte er noch einmal richtig die Werbetrommel rühren, aber das hilft auch nichts	wenn das ganze Viertel den Bach runter geht.
micro_d08	a3	164	true	true	0.99804807	0.98382461	nd waren und die Stimmung an der Börse insgesamt besser sein könnte, solltest du IBM Aktien kaufen,	wenn du investieren willst. Denn einerseits verkaufen sich deren Produkte auch in schlechten Zeiten
micro_d09	a4	121	true	true	0.56065440	0.77691549	ernsehen, denn zuviel Fernsehen macht auf Dauer dumm, wie bei deinem Bruder. Eine Ausnahme wäre es,	wenn du nur Quizshows sehen würdest, aber du guckst ja eher BigBrother und X-Diaries.
micro_d13	a1	57	true	true	0.99578047	0.99721473	Wann immer Peter auf einer Party eine Exfreundin trifft,	verzichtet er vorsichtshalber auf weiteren Alkoholkonsum. Als er gestern von Ralfs Party heimkam, wa
micro_d13	a2	155	true	true	0.96128553	0.94977099	, verzichtet er vorsichtshalber auf weiteren Alkoholkonsum. Als er gestern von Ralfs Party heimkam,	war er immer noch stocknüchtern. Folglich muss eine seiner Exfreundinnen dort gewesen sein. Zwar beh
micro_d13	a4	268	true	false	0.62655789	0.49569529	noch stocknüchtern. Folglich muss eine seiner Exfreundinnen dort gewesen sein. Zwar behauptet Ralf,	dass sie gemeinsam Eierlikör getrunken hätten. Aber den würde Peter auch ohne Exfreundin niemals anr
micro_d14	a5	347	true	true	0.82300049	0.87113529	meistens gleich wenn's brenzlig wird. Gestern, als uns die Türsteher erst nicht reinlassen wollten,	da war er auch ganz plötzlich weg.
micro_d23	a3	179	true	true	0.51644135	0.73433459	eht eine gewisse Lebensgefahr dabei. Aber ich will diesen unglaublichen Moment der Freiheit spüren,	von dem Springer immer wieder berichten. Außerdem hat Jochen letztens einen Fallschirmsprung geschen
micro_k001	a6	458	true	true	0.99899739	0.99889970	Journalismus. Doch solange die Gebührenzahler keinen Einfluss auf die Verteilung der Gelder haben,	verärgert sie der Beitrag zu Recht.
micro_k002	a1	34	true	true	0.84747267	0.88758737	Im Grunde wäre es gerechtfertigt,	wenn alle Universitäten in Deutschland Studiengebühren verlangen würden. Solange sichergestellt wird
micro_k002	a2	197	true	true	0.84425628	0.92551285	n würden. Solange sichergestellt wird, dass das Geld wirklich direkt den Universitäten zugutekommt,	kann durchaus weiterhin von sozialer Gerechtigkeit gesprochen werden. Wer später studiert, entscheid
micro_k002	a3	288	false	true	0.25208366	0.57615584	tekommt, kann durchaus weiterhin von sozialer Gerechtigkeit gesprochen werden. Wer später studiert,	entscheidet sich ohnehin bereits in früheren Jahren. Es ist jederzeit möglich, einen Studienkredit a
micro_k002	a4	399	true	true	0.84949410	0.69360715	sich ohnehin bereits in früheren Jahren. Es ist jederzeit möglich, einen Studienkredit aufzunehmen	oder sich ein Stipendium zu erarbeiten. Nichtakademiker über Steuerabgaben dazu zu verpflichten, and
micro_k004	a2	150	false	true	0.49106210	0.53595155	gen Sonn- und Feiertagen geöffnet werden dürfen. Das mag für die Angestellten eine Umstellung sein,	die sich nicht ohne Weiteres realisieren lässt. Besonders für berufstätige Kunden würde es aber größ
micro_k004	a5	566	true	true	0.94808900	0.94562209	che Länder, beispielsweise die Niederlande, Schweden oder Großbritannien, haben das bereits erkannt	und die Öffnungszeiten der Geschäfte erfolgreich angepasst.
micro_k006	a1	50	true	true	0.98555827	0.95582205	Wenn Deutschland die Todesstrafe einführen würde,	könnten verurteilte Verbrecher nicht vorzeitig entlassen werden oder ausbrechen und neue Straftaten
micro_k006	a1	114	true	true	0.84421515	0.83600420	nd die Todesstrafe einführen würde, könnten verurteilte Verbrecher nicht vorzeitig entlassen werden	oder ausbrechen und neue Straftaten begehen. Allerdings bringt der Tod den Betroffenen und Angehörig
micro_k006	a1	130	true	true	0.97575915	0.91877425	fe einführen würde, könnten verurteilte Verbrecher nicht vorzeitig entlassen werden oder ausbrechen	und neue Straftaten begehen. Allerdings bringt der Tod den Betroffenen und Angehörigen nicht mehr al
micro_k008	a1	83	true	true	0.98687243	0.98451418	Wenn es höhere Geldstrafen für auf Gehwegen hinterlassene Hundehaufen geben würde,	würde es vermutlich weniger Hundehaufen geben, was wiederum in allgemein sauberere Bürgersteige resu
micro_k009	a2	88	true	true	0.96765655	0.98503864	Deutschland sollte auf keinen Fall die Todesstrafe einführen. Gäbe es eine Todesstrafe,	würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen und über deren
micro_k009	a2	174	true	true	0.84745449	0.64370346	Todesstrafe, würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen	und über deren Leben zu entscheiden. Die Todesstrafe auszuführen wäre Mord und müsste ebenfalls mit
micro_k009	a3	249	true	true	0.96804672	0.87740558	h über andere zu stellen und über deren Leben zu entscheiden. Die Todesstrafe auszuführen wäre Mord	und müsste ebenfalls mit der Todesstrafe bestraft werden. Was aber ist mit Straftätern, die wirklich
micro_k009	a4	422	true	true	0.52524102	0.59413081	t Straftätern, die wirklich schlimme Verbrechen begangen haben, wie etwa Mord oder Vergewaltigung -	soll es diesen einfach erlaubt sein, weiterzuleben, obwohl sie ein anderes Leben genommen oder zerst
micro_k009	a6	537	true	true	0.88034487	0.87643349	einfach erlaubt sein, weiterzuleben, obwohl sie ein anderes Leben genommen oder zerstört haben? Ja,	denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein und von den eigenen Ged
micro_k009	a6	614	true	true	0.67762899	0.50215846	er zerstört haben? Ja, denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein	und von den eigenen Gedanken gequält zu werden, als schnell und einfach durch eine Injektion getötet
micro_k010	a2	223	true	true	0.98901856	0.95406175	ch verfolgen (wollen). Teilweise laufen nur Sendungen für die ältere Generation zu Spielfilmzeiten,	wieso sollten also alle dafür zahlen? Werbung gibt es inzwischen auf allen Kanälen, also ergibt sich
micro_k010	a5	511	true	true	0.98995984	0.96646088	ichen Sender. Trotzdem muss man sagen, dass es dann wahrscheinlich viel weniger dieser Sender gibt,	wenn nicht mehr ganz Deutschland zahlen muss. Das sollte allerdings bei der Masse an Sendungen und S
micro_k011	a1	75	true	true	0.99438101	0.99606496	Mietpreiserhöhungen bei einer Neuvermietung sind an sich nicht so schlimm,	wenn es sich nur um einen kleinen Betrag handelt, sehr schlimm allerdings, wenn die Miete auf einmal
micro_k011	a2	150	true	true	0.90788299	0.71775436	n sich nicht so schlimm, wenn es sich nur um einen kleinen Betrag handelt, sehr schlimm allerdings,	wenn die Miete auf einmal 100,- bis 200,-€ steigt. Bei diesen Beträgen überlegt man es sich noch ein
micro_k011	a4	340	true	true	0.99352759	0.99261671	h noch einmal, ob man wirklich in der Wohnung bleiben will. Wenn es schon Mietpreiserhöhungen gibt,	dann soll es also auch eine Beschränkung geben, um bösen Überraschungen vorzubeugen. Den Vermietern
micro_k011	a4	388	true	true	0.99769008	0.99625862	eiben will. Wenn es schon Mietpreiserhöhungen gibt, dann soll es also auch eine Beschränkung geben,	um bösen Überraschungen vorzubeugen. Den Vermietern ist so geholfen, weil sie mit der Erhöhung ihre
micro_k012	a3	346	true	true	0.98633528	0.97557837	udium bewerben könnten. Auch ohne Studiengebühren muss jeder zweite während des Studierens arbeiten	und hat so weniger Zeit für das Lernen und die Freizeit. Man kann zwar behaupten, durch mehr Studien
micro_k012	a4	428	false	true	0.45735249	0.72665405	udierens arbeiten und hat so weniger Zeit für das Lernen und die Freizeit. Man kann zwar behaupten,	durch mehr Studiengebühren würden auch die Bildungseinrichtungen besser ausgestattet werden. Doch wa
micro_k012	a5	579	true	true	0.98725557	0.99019367	einrichtungen besser ausgestattet werden. Doch was bringt eine wunderbar ausgestattete Universität,	wenn sie dem Großteil der schlauen Menschen gar keine Chance gibt, mit der tollen Ausstattung ihren
micro_k013	a2	173	true	true	0.99921679	0.96266145	haben das Recht, einen freien Sonntag zu haben. Ebenso sollen Feiertage das bleiben, was sie sind:	für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub
micro_k013	a2	205	true	true	0.99458390	0.95949966	onntag zu haben. Ebenso sollen Feiertage das bleiben, was sie sind: für die Einen Tage der Einkehr,	für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen. Also ist es gut, wenn d
micro_k013	a2	239	true	true	0.96810782	0.80626667	ertage das bleiben, was sie sind: für die Einen Tage der Einkehr, für die anderen bezahlter Urlaub,	die nicht vom eigentlichen Urlaub abgehen. Also ist es gut, wenn die Geschäfte an Sonn- und Feiertag
micro_k013	a3	299	true	true	0.72728610	0.63254178	kehr, für die anderen bezahlter Urlaub, die nicht vom eigentlichen Urlaub abgehen. Also ist es gut,	wenn die Geschäfte an Sonn- und Feiertagen nicht öffnen. Menschen, die jedoch unter der Woche und Sa
micro_k013	a4	451	true	true	0.99942112	0.98845810	nen. Menschen, die jedoch unter der Woche und Samstags arbeiten, haben dann allerdings ein Problem:	alle anderen können werktags einkaufen gehen, sie jedoch nicht. Für diese Menschen stellen die späte
