doc_id	adu_id	adu_index	de_start	de_end	en_start	en_end	de_text	en_text
micro_b003	a5	5	338	485	281	409	Solange aber nicht klar ist, wieso es dazu kommt, sollte das Geld besser für Behandlungen ausgegeben werden, bei denen man es mit Sicherheit weiss.	But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.
micro_b004	a1	1	0	107	0	103	Natürlich gibt es auch im Öffentlich-Rechtlichen einige Sendungen, die den Rundfunkbeitrag nicht wert sind,	Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,
micro_b004	a2	2	108	225	104	201	und andere, wie der Musikantenstadl oder die vielen Telenovelas, sind nur für bestimmte Zuschauergruppen interessant.	and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.
micro_b004	a3	3	226	327	202	303	Trotzdem sollten alle gleichermaßen für die Finanzierung der öffentlich rechtlichen Sender aufkommen,	Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,
micro_b004	a4	4	328	380	304	346	denn wir brauchen allgemeine und unabhängige Medien.	for we need general and independent media.
micro_b004	a5	5	381	525	347	482	Schließlich wollen wir unsereren Blick auf die Welt weder durch die Brille der Regierung noch durch die von reichen Medienunternehmern bekommen.	After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
micro_b005	a1	1	0	76	0	76	Die Geheimdienste müssen dringend stärker vom Parlament kontrolliert werden,	Intelligence services must urgently be regulated more tightly by parliament;
micro_b005	a2	2	77	145	77	150	das sollte jedem nach den Enthüllungen von Edward Snowden klar sein.	this should be clear to everyone after the disclosures of Edward Snowden.
micro_b005	a3	3	146	223	151	231	Die betreffen zwar vor allem die britischen und amerikanischen Geheimdienste,	Granted, those concern primarily the British and American intelligence services,
micro_b005	a4	4	224	298	232	299	aber mit denen arbeiten die Deutschen Dienste bekanntermaßen eng zusammen.	but the German services evidently do collaborate with them closely.
micro_b005	a5	5	299	382	300	393	Deren Werkzeuge, Daten und Knowhow wird schon lange zu unserer Überwachung genutzt.	Their tools, data and expertise have been used to keep us under surveillance for a long time.
micro_b006	a1	1	0	93	0	78	Die Todesstrafe ist ein Rechtsmittel, welches als solches in Deutschland nicht anwendbar ist.	The death penalty is a legal means that as such is not practicable in Germany.
micro_b006	a2	2	94	171	79	151	Zum einen ist in unserer Verfassung eine unantastbare Menschenwürde verankert	For one thing, inviolable human dignity is anchored in our constitution,
micro_b006	a3	3	172	292	152	246	und zum anderen kann sich kein Mensch ein Recht herausnehmen, über den Tod eines anderen Menschen entscheiden zu dürfen.	and furthermore no one may have the right to adjudicate upon the death of another human being.
micro_b006	a4	4	293	408	247	348	Auch wenn viele Menschen denken, dass ein Mörder bereits über Leben und Tod eines anderen Menschen entschieden hat,	Even if many people think that a murderer has already decided on the life or death of another person,
micro_b006	a5	5	409	483	349	416	ist dies ja die Straftat, die wir nicht mit eben solcher vergelten können.	this is precisely the crime that we should not repay with the same.
micro_b007	a1	1	0	116	0	90	Hundehaufen auf Gehwegen erfordern meine komplette, auf den Boden gerichtete, Aufmerksamkeit auf dem Weg zur Arbeit.	Dog dirt on the pavement requires my complete, ground-focused attention on my way to work.
micro_b007	a2	2	117	219	91	204	Dadurch entsteht eine Unachtsamkeit im Straßenverkehr, die vergleichbar mit einem Delikt der StVo ist.	This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
micro_b007	a3	3	220	303	205	273	Deshalb sollte die Verursachung eines solchen Hindernisses stärker geahndet werden.	That's why causing such obstacles must to be more urgently punished.
micro_b007	a4	4	304	409	274	366	Hundehalter mögen denken, dass ein Hundehaufen nur ein harmlose Sekret eines Tieres wie jedes andere ist.	Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
micro_b007	a5	5	410	474	367	417	Doch dann verkennen sie die Auswirkungen auf den Straßenverkehr.	Yet then they misjudge its impact on road traffic.
micro_b008	a1	1	0	191	0	153	"Natürlich wäre es schön einfach, wenn ich nach einer feuchtfröhlichen Nacht mit der Disko-Bekanntschaft am nächsten Morgen nur noch ""die Pille danach"" nehmen muss und dann beruhigt sein kann."	Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
micro_b008	a2	2	192	221	154	179	Doch so einfach ist es nicht.	But it's not that simple.
micro_b008	a3	3	222	286	180	230	Vielleicht ist in dieser Nacht schon ein neues Leben entstanden.	Perhaps a new life was already created that night.
micro_b008	a4	4	287	324	231	271	Ich würde es ohne Nachzudenken töten.	I would kill it without further thought.
micro_b008	a5	5	325	410	272	353	Deshalb sollte ein Besuch beim Arzt und die ärztliche Beratung verpflichtend bleiben.	That's why a visit to the doctor and professional advice should remain mandatory.
micro_b009	a1	1	0	147	0	103	Dass Mieter heutzutage bei einem Neueinzug einen viel höheren Preis als der Vormieter zahlen müssen, ist ungerecht und nicht mehr zu rechtfertigen.	It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
micro_b009	a2	2	148	232	104	172	Sicherlich muss der Vermieter einige Instandsetzungs-Maßnahmen vor Neueinzug zahlen.	Clearly the landlord has to pay for some repairs before a new lease.
micro_b009	a3	3	233	349	173	279	Doch diese Ausgaben müssten auch durch minimale Mieterhöhungen über den gesamten Mietzeitraum getilgt werden können.	But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.
micro_b009	a4	4	350	482	280	406	Zumal der Mietpreis gegenüber dem Grundmietpreis für einen ausreichenden Gewinn nicht bei jeder Neuvermietung angehoben werden muss.	All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.
micro_b010	a1	1	0	88	0	87	Alternative Heilpraktiken sollten genauso wie ärztliche Behandlungen bezuschusst werden,	Alternative treatments should be subsidized in the same way as conventional treatments,
micro_b010	a2	2	89	177	88	168	weil beide Wege zur Verhinderung, Minderung oder Heilung einer Krankheit führen könnten.	since both methods can lead to the prevention, mitigation or cure of an illness.
micro_b010	a3	3	178	286	169	276	Zudem müsste es im Sinne der Krankenkassen liegen, Naturheilpraktiken als ärztliche Behandlung anzuerkennen,	Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,
micro_b010	a4	4	287	323	277	313	da eine Chance der Genesung besteht.	since there is a chance of recovery.
micro_b010	a5	5	324	412	314	409	"Es spielt dabei doch keine Rolle, dass die Behandelnden nicht den ""Ärzte-Status"" tragen."	It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
micro_b011	a1	1	0	109	0	80	Für auf dem Bürgersteig hinterlassene Hundehaufen sollte man Hundebesitzer ruhig etwas mehr zur Kasse bitten.	For dog dirt left on the pavement dog owners should by all means pay a bit more.
micro_b011	a2	2	110	153	81	122	Die Tiere an sich können zwar nichts dafür,	Indeed it's not the fault of the animals,
micro_b011	a3	3	154	255	123	213	aber einmal hineingetreten, scheinen ihre Exkremente überaus hartnäckig an den Schuhsohlen zu haften.	but once you step in it, their excrement seems to stick rather persistently to your soles.
micro_b012	a1	1	0	66	0	57	Manche mögen das Konzept der Schul-Uniform anachronistisch finden,	Some may find the idea of a school uniform anachronistic,
micro_b012	a2	2	67	166	58	160	oder als einen zu starken Eingriff in den Entscheidungsspielraum von Schülern und Eltern begreifen.	or regard it as too much of an intervention into the leeway of students and parents to make decisions.
micro_b012	a3	3	167	343	161	333	"In der Tat ist es jedoch heute schon so, dass die Schüler auch vermeintlich ""Uniform-freier"" Schulen im Prinzip eine Uniform tragen, die aus bestimmten Markenklamotten besteht."	Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments.
micro_b012	a4	4	344	531	334	527	Ein einfach gestaltetes, praktisches Outfit würde das visuelle Gesamtbild der Schule beruhigen, und den Fokus auf Charakter und Leistungen der Schüler - und nicht ihre Kaufkraft - lenken.	A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.
micro_b013	a1	1	0	96	0	81	Selbstverständlich sollten die Krankenkassen Behandlungen der alternativen Medizin unterstützen.	Health insurance companies should naturally cover alternative medical treatments.
micro_b013	a2	2	97	227	82	196	Nicht alle Praktiken und Ansätze, die sich unter dieser Bezeichnung verbergen, mögen durch klinische Studien bestärkt worden sein,	Not all practices and approaches that are lumped together under this term may have been proven in clinical trials,
micro_b013	a3	3	228	354	197	336	"jedoch ist gerade deren positive Wirkung in Begleitung konventioneller ""westlicher"" medizinischer Therapien durchaus belegbar."	yet it's precisely their positive effect when accompanying conventional 'western' medical therapies that's been demonstrated as beneficial.
micro_b013	a4	4	355	454	337	430	Ausserdem bieten viele niedergelassene Ärzte derlei Beratungen und Leistungen sowieso parallel an -	Besides many general practitioners offer such counselling and treatments in parallel anyway -
micro_b013	a5	5	455	517	431	484	und wer wird deren breitere Expertise in Frage stellen wollen?	and who would want to question their broad expertise?
micro_b014	a1	1	0	102	0	99	Eigentlich sollten nur die einen Rundfunkbeitrag zahlen, die auch wirklich ARD, ZDF, Arte usw. gucken.	Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.
micro_b014	a2	2	103	196	100	169	Es ist ja an und für sich gut, ein anspruchsvolleres Programm durch Gebühren zu unterstützen.	It is in fact good to support sophisticated programming through fees.
micro_b014	a3	3	197	287	170	260	Kurioserweise gibt es jedoch trotzdem Werbung und Produktplatzierung auf den Öffentlichen.	Curiously, however, there are still adverts and product placements on the public channels.
micro_b014	a4	4	288	404	261	377	Wofür zahlt man dann noch? Dass immer die gleichen Schauspieltruppen sich einen Lenz an exotischen Drehorten machen?	What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?
micro_b014	a5	5	405	458	378	427	Auch die Drehbücher sind oft voneinander abgekupfert.	Also the scripts are often copied off each other.
micro_b015	a1	1	0	97	0	86	Also, ich als Arbeitnehmer fände es sehr praktisch, zumindest an Wochenenden einkaufen zu können.	Well, I as an employee find it very practical to be able to shop at least on weekends.
micro_b015	a2	2	98	162	87	147	Klar müssen dann auch Leute am Wochenende in den Läden arbeiten,	Sure, other people have to work in the shops on the weekend,
micro_b015	a3	3	163	278	148	254	aber die haben dann eben innerhalb der Woche frei und können in Ruhe Termine wahrnehmen, während ich im Büro sitze.	but they can have days off during the week and run errands at their leisure while I'm stuck in the office.
micro_b015	a4	4	279	337	255	298	Ausserdem will doch der Staat, dass ich mein Geld ausgebe,	Plus, the state wants me to spend my money,
micro_b015	a5	5	338	424	299	377	und wie soll ich dass machen, wenn die Geschäfte nicht offen sind, wenn ich frei habe?	and how am I supposed to do that when the shops aren't open when I'm off work?
micro_b016	a1	1	0	130	0	141	Die Idee des Bachelorstudiums ist, die Gesamtnote aus zahlreichen Einzelleistungen zusammenzusetzen, um die Endnote zu generieren.	The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
micro_b016	a2	2	131	284	142	289	Dies entspricht auch eher der späteren Arbeitswelt, in der Leistung nicht singulär, sondern regelmäßig und über längere Zeit hinweg erbracht werden soll.	This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods.
micro_b016	a3	3	285	398	290	425	Daher macht es Sinn, dass die Bachelorarbeit nur einen relativ kleinen Teil der Endnote ausmacht (15 von 120 SP).	That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
micro_b016	a4	4	399	503	426	516	Allerdings differiert der unterschiedliche Aufwand für die einzelnen, teils gleichwertigen Module stark.	However, the effort required for the individual equally weighted modules differs strongly.
micro_b016	a5	5	504	587	517	603	Es wäre also sinnvoll, den Aufwand der Abschlussarbeit(en) entsprechend anzupassen.	It would therefore be wise to adjust the required effort for final theses accordingly.
micro_b017	a1	1	0	86	0	71	Die Mietpreise sollten bei einem Mieterwechsel durch eine Höchstgrenze limitiert sein.	Rent prices should be limited by a cap when there's a change of tenant.
micro_b017	a2	2	87	137	72	119	Zwar wollen die Vermieter möglichst viel verdienen	Landlords may want to earn as much as possible,
micro_b017	a3	3	138	224	120	198	und viele sind dem Marktprinzip entsprechend auch bereit die höheren Mieten zu zahlen,	and many, consistent with market principles, are prepared to pay higher rents,
micro_b017	a4	4	225	367	199	317	aber dass Menschen mit gleichem Einkommen plötzlich mehr zahlen sollen und nicht mehr in der selben Wohnung leben dürfen, scheint unplausibel.	but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
micro_b017	a5	5	368	431	318	377	Die Gentrifizierung zerstört ganze Stadtteile und deren Kultur.	Gentrification destroys entire districts and their culture.
micro_b018	a1	1	0	58	0	73	Die Wahl des behandelnden Arztes steht dem Patienten frei.	The choice of an attending physician is at the discretion of the patient.
micro_b018	a2	2	59	149	74	166	Jedoch ist das Geld der Gesundheitskassen eine Gemeinschaftsleistung aller Beitragszahler.	Yet the funds of the health insurance companies are a common benefit for all premium payers.
micro_b018	a3	3	150	240	167	235	Sie sollten nicht für persönliche Vorlieben ohne nachweislichen Nutzen aufgewendet werden.	They should not be spent on personal preferences without proven use.
micro_b018	a4	4	241	295	236	305	Die Wirkung vieler Naturheilmittel ist nicht erwiesen.	The effectiveness of many natural remedies has not been demonstrated.
micro_b018	a5	5	296	413	306	419	Daher sollten keine ungeprüften und unanerkannten Behandlungen bei Naturheilkundlern von den Kassen erstattet werden.	Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
micro_b019	a1	1	0	75	0	80	Es ist erstrebenswert, dass niemand sein Vermögen am Fiskus vorbeischleust.	It is desirable that no one channels his or her wealth past the tax authorities.
micro_b019	a2	2	76	165	81	150	Wer dies doch tut oder versucht, sollte nach Möglichkeit zur Rechenschaft gezogen werden.	Those who do or try to should be held accountable if at all possible.
micro_b019	a3	3	166	258	151	225	Andererseits werden aus staatlichen Mitteln zahlreiche sinnfreie Investitionen verschwendet,	Having said that, state funds are often wasted on nonsensical investments,
micro_b019	a4	4	259	334	226	286	sodass dieser ideell in vielen Bereichen nicht unterstützenswert erscheint.	so that this ideal appears unworthy of support in many ways.
micro_b019	a5	5	335	414	287	360	Zudem ist der Handel mit Informationen offensichtlich von Profitgier getrieben.	Besides, the trading of information is obviously driven by greed of gain.
micro_b019	a6	6	415	525	361	453	Steuerdaten, die nicht kostenfrei zur Verfügung gestellt werden, sollten daher nicht vom Staat gekauft werden.	Tax data that are not made available for free should therefore not be acquired by the state.
micro_b020	a1	1	0	58	0	44	Die Olympischen Disziplinen entspringen alten Traditionen.	Olympic events are rooted in old traditions.
micro_b020	a2	2	59	147	45	114	Andererseits haben die Olympische Disziplinen zudem einen kulturell bedingten Charakter.	On the other hand, the events have a culturally determined character.
micro_b020	a3	3	148	218	115	177	Unsere Gesellschaft ist stark von Computern geprägt und digitalisiert.	Our society is strongly digitized and influenced by computers.
micro_b020	a4	4	219	291	178	235	Jedoch ist Sport im Allgemeinen mit körperlicher Ertüchtigung verbunden.	Yet sports are usually associated with physical training.
micro_b020	a5	5	292	371	236	302	Da aber auch Skat, Schach etc. nicht als Olympische Disziplinen geführt werden,	Since however skat, chess etc. are not accepted as Olympic events,
micro_b020	a6	6	372	449	303	366	sollten auch Computerspiele nicht als Olympische Disziplinen anerkannt werde.	computer games should also not be recognized as Olympic events.
micro_b021	a1	1	0	61	0	46	In Deutschland sollten keine Studiengebühren verlangt werden.	Tuition fees should not be charged in Germany.
micro_b021	a2	2	62	146	47	121	Studieren und weiterbildendes Studium muss ein Grundrecht eines jeden Menschen sein.	Studying and taking higher degrees must remain a basic right for everyone.
micro_b021	a3	3	147	208	122	165	Studiengebühren bedingen eine Verlängerung der Studienzeiten.	Fees result in longer durations of studies.
micro_b021	a4	4	209	220	166	180	Das kostet!	That's costly!
micro_b022	a1	1	0	63	0	52	Nein, das Rentenalter sollte wieder auf 65 Jahre erhöht werden.	No, the retirement age should be raised to 65 again.
micro_b022	a2	2	64	106	53	89	Die Menschen werden im Durchschnitt älter,	People are getting older on average,
micro_b022	a3	3	107	174	90	143	sie sind damit aber im Durchschnitt nicht kränker und nicht dümmer.	but they are not sicker and not duller because of it.
micro_b022	a4	4	175	252	144	205	Ohne sie würden wir auf ein großes Maß an gesammelten Erfahrungen verzichten.	Without them we'd forgo a great deal of collected experience.
micro_b022	a5	5	253	337	206	265	Außerdem müssten mehr Beschäftigungsangebote für die Senioren bereitgestellt werden.	And we'd have to offer more leisure activities for seniors.
micro_b023	a1	1	0	113	0	100	"Kein Mensch oder menschliches Gremium sollte wieder die Erlaubnis bekommen, über ""Leben oder Tod"" zu entscheiden."	No human being or human committee should again be given the permission to rule over 'life or death'.
micro_b023	a2	2	114	163	101	140	Auch Gerichte unterliegen menschlichen Irrtümern.	Courts are also subject to human error.
micro_b023	a3	3	164	223	141	200	Deshalb sollte Deutschland die Todesstrafe nicht einführen!	That's why Germany should not introduce capital punishment!
micro_b023	a4	4	224	362	201	320	Jeder Mensch, auch der, der ein verurteilungswürdiges Verbrechen begangen hat, kann sich zu einer bereuenden Meinungsänderung durchringen.	Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion.
micro_b023	a5	5	363	421	321	363	Einer Wiedergutmachung muss eine Tür offengehalten werden.	A door must remain open for making amends.
micro_b024	a1	1	0	112	0	102	Dem Mietwucher sollte durch Begrenzung der Mietpreiserhöhung bei Wohnungswechsel ein Riegel vorgeschoben werden.	A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
micro_b024	a2	2	113	149	103	141	Denn bezahlbarer Wohnraum ist knapp.	For affordable living space is scarce.
micro_b024	a3	3	150	285	142	269	Zudem ist ein hoher Luxusgrad (teure Wohnungen) für die Mehrheit der Menschen nicht notwendig, sondern vielmehr eine Wohnung überhaupt.	Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.
micro_b024	a4	4	286	344	270	334	Außerdem muss jeder in seinem Leben ca. 3-10 Mal umziehen,	Plus everyone has to move approx. 3-10 times in his or her life,
micro_b024	a5	5	345	418	335	419	weil sich die Größe der gewünschten Wohnung im Laufe eines Lebens ändert.	because the size of the desired accommodation changes over the course of a lifetime.
micro_b025	a1	1	0	50	0	60	Seit Menschen gedenken gibt es Naturheilpraktiken,	From time immemorial humans have had complementary medicine,
micro_b025	a2	2	51	88	61	103	sie waren nicht generell wirkungslos.	and it has not generally been ineffective.
micro_b025	a3	3	89	190	104	203	Die Verringerung von chemisch hergestellten Medikamenten pro Person ist auf jeden Fall wünschenswert.	A reduction in the amount of chemically produced medication per person is most certainly desirable.
micro_b025	a4	4	191	247	204	262	Der Pharmaindustrie kann dies nur wenig Schaden bringen,	This will do little damage to the pharmaceutical industry,
micro_b025	a5	5	248	296	263	313	auch die Schulmedizin wird kaum darunter leiden.	and conventional medicine will also hardly suffer.
micro_b025	a6	6	297	382	314	405	Der Patient könnte daraus lernen, gesünder und bewusster mit seinem Körper umzugehen.	The patient could learn to be more aware of his or her body and to treat it more healthily.
micro_b026	a1	1	0	95	0	117	Die gesetzlichen Krankenkassen sollten auch Behandlungen beim Natur- oder Heilpraktiker zahlen.	The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.
micro_b026	a2	2	96	191	118	191	Deren Behandlungsmethoden und -Erfolge sind zwar nicht hinreichend erforscht oder nachgewiesen.	Their treatment methods and successes are not amply researched or proven.
micro_b026	a3	3	192	279	192	274	Doch viele Patienten empfinden subjektiv eine Linderung oder Heilung ihrer Beschwerden,	Yet many patients subjectively experience relief or are cured of their complaints,
micro_b026	a4	4	280	385	275	352	wodurch letztlich auch Kosten für Behandlungen und Medikamente der klassischen Medizin eingespart werden.	which ultimately also saves costs for conventional treatments and medication.
micro_b026	a5	5	386	458	353	412	Auch die (kassen-)ärztliche Kunst ist in vielen Fällen nicht erfolgreich	Also conventional medicine is in many cases not successful,
micro_b026	a6	6	459	522	413	471	und zudem mit erheblichen Risiken und Nebenwirkungen verbunden.	and, moreover, entails significant risks and side effects.
micro_b027	a1	1	0	51	0	49	Die Todesstrafe sollte weltweit abgeschafft werden.	The death penalty should be abandoned everywhere.
micro_b027	a2	2	52	134	50	128	Aus christlicher und humanistischer Sicht ist es nicht erlaubt, jemanden zu töten.	From a Christian and humanistic perspective it is not allowed to kill someone.
micro_b027	a3	3	135	260	129	251	Befürworter der Todesstrafe setzen auf die abschreckende Wirkung sowie die endgültige Eliminierung einer potentiellen Gefahr.	Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.
micro_b027	a4	4	261	399	252	376	Offensichtlich kann aber auch die drohende Todesstrafe in entsprechenden Ländern nicht verhindern, dass es Mord und Gewaltverbrechen gibt.	However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.
micro_b027	a5	5	400	505	377	467	Zudem stellt sich immer wieder heraus, dass auch Menschen unschuldig verurteilt oder hingerichtet wurden.	Moreover it turns out time and again that innocent people are also convicted and executed.
micro_b028	a1	1	0	81	0	83	Die Universitäten in Deutschland sollten auf keinen Fall Studiengebühren erheben.	The universities in Germany should not under any circumstances charge tuition fees.
micro_b028	a2	2	82	163	84	156	Dadurch würde finanziell schwächer Gestellten der Zugang erschwert oder verwehrt.	This would impede or prevent access to those who are financially weaker.
micro_b028	a3	3	164	244	157	231	Die erhofften Ziele von Studiengebühren können auf andere Weise erreicht werden.	The anticipated objectives of tuition fees can be achieved by other means.
micro_b028	a4	4	245	327	232	306	Als Motivation für eine straffere Studiendisziplin gibt es andere Instrumentarien.	There are other instruments to motivate tighter discipline while studying.
micro_b028	a5	5	328	466	307	427	Und zur Finanzierung sollte u. a. geprüft werden, wie bei Studenten aus anderen (Bundes-) Ländern die Kosten von diesen zu erstatten sind.	And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
micro_b029	a1	1	0	92	0	81	Der Rundfunkbeitrag kann nur von allen Bürgern/Haushalten gleichermaßen eingefordert werden.	The TV/radio licence fee can only be required of all citizens/households equally.
micro_b029	a2	2	93	192	82	163	Kritiker führen an, dass sie das Angebot der Öffentlich Rechtlichen Sender gar nicht nutzen würden.	Critics point out that they are not using what's on offer by public broadcasting.
micro_b029	a3	3	193	329	164	281	Ich bezweifle zwar, dass es überhaupt jemanden gibt, der niemals ein Angebot der Öffentlich Rechtlichen Sender zumindest indirekt nutzt.	I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.
micro_b029	a4	4	330	420	282	357	Es ist jedoch nicht möglich, dies zu kontrollieren, um differenzierte Gebühren zu erheben.	However, it is impossible to monitor this and collect more customized fees.
micro_b029	a5	5	421	605	358	531	Ebenso, wie andere Angebote der Kultur oder Infrastruktur, sind auch die Öffentlich Rechtlichen Sender unabhängig davon zu finanzieren, ob der Einzelne dieses Angebot nutzt oder nicht.	Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.
micro_b030	a1	1	0	65	0	50	An unseren Schulen sollten keine Schul-Uniformen getragen werden.	School uniforms should not be worn in our schools.
micro_b030	a2	2	66	193	51	180	Sie bieten zwar den Vorteil, dass die Konkurrenz von Markenkleidung und die Benachteiligung sozial Schwacher verhindert werden.	They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.
micro_b030	a3	3	194	272	181	275	Dennoch möchte kaum jemand sich oder seine Kinder in Einheits-Uniform kleiden.	Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.
micro_b030	a4	4	273	418	276	388	Zudem stehen solche Uniformen auch für eine ideologische Gleichschaltung und für die Unterdrückung einer individuellen Persönlichkeitsentfaltung.	Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.
micro_b031	a1	1	0	65	0	58	In Deutschland sollte man die Todesstrafe nicht wieder einführen,	One should not re-introduce capital punishment in Germany,
micro_b031	a2	2	66	164	59	146	da sich niemand das Recht anmaßen kann, über Leben oder Tod eines anderen Menschen zu entscheiden.	since no one can claim the right to rule over the life or death of another human being.
micro_b031	a3	3	165	226	147	210	Die Todesstrafe wird keinen anderen von einer Untat abhalten.	Capital punishment will not deter anyone else from an atrocity.
micro_b031	a4	4	227	339	211	310	Jedem muss die Gelegenheit gegeben werden, sein Gewissen zu schärfen und seine Tat möglichst wieder gutzumachen.	Everyone must be given the chance to hone their conscience and possibly make amends for their deed.
micro_b032	a1	1	0	63	0	59	Für Hundehaufen auf Gehwegen sollte die Geldbuße erhöht werden.	There should be a higher fine for dog dirt on the pavement.
micro_b032	a2	2	64	116	60	105	Hundehaufen sind eklig und ein hygienisches Problem.	Dog dirt is disgusting and a hygiene problem.
micro_b032	a3	3	117	201	106	196	Auch Kinder, Erwachsene und andere Tiere dürfen keine Haufen auf die Gehwege setzen.	Also children, adults and other animals aren't allowed to leave droppings on the pavement.
micro_b032	a4	4	202	282	197	271	Entsorgt man die Haufen selbst und sofort, ist eine Geldbuße nicht erforderlich.	If you dispose of the waste then and there yourself, no fine is necessary.
micro_b033	a1	1	0	91	0	95	Ich halte eine Randbebauung des Tempelhofer Feldes aus städtebaulichen Gründen für richtig,	I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,
micro_b033	a2	2	92	144	96	153	da das Areal mitten in der Stadt (Hauptstadt) liegt.	as the area is right in the middle of the city (capital).
micro_b033	a3	3	145	225	154	224	Die Größe des Feldes lässt sowohl Wohnbebauung als auch großzügige Freiräume zu.	The size of the field allows for both housing and generous open space.
