doc_id	adu_id	char_offset	eduseg_de_predicted	secorel_predicted	eduseg_de_probability	secorel_probability	left_context	right_context
micro_b032	a4	245	true	true	0.97634637	0.98937374	andere Tiere dürfen keine Haufen auf die Gehwege setzen. Entsorgt man die Haufen selbst und sofort,	ist eine Geldbuße nicht erforderlich.
micro_b034	a4	257	true	true	0.98165268	0.99046421	ung sind Grundrechte, die der Staat, die Gesellschaft leisten müssen. Fehlt den Universitäten Geld,	muss nach Sponsoren gesucht werden. Leider kann dies in manchen Fällen zu unliebsamen Abhängigkeiten
micro_b035	a2	158	true	true	0.91506922	0.94631046	ndheitsfördernde Behandlungsmethoden, die häufig preiswerter als Medikamente der Schulmedizin sind,	die ja auch bezahlt werden. Oft sind Naturheilverfahren für die Patienten nicht so sehr belastend. D
micro_b035	a5	468	true	true	0.64868242	0.87857789	assen müssen befähigt werden, die Entscheidung des Arztes für eine Naturheilbehandlung anzuerkennen	und auch zu bezahlen.
micro_b036	a2	155	false	true	0.35169423	0.85294968	plinen aufgenommen werden. Die Leistungen, die dem Spieler teilweise abverlangt werden, sind immens	und durchaus mit sportlicher Anstrengung zu vergleichen. Es werden durch verschiedene Spiele auch ve
micro_b036	a4	380	true	true	0.94739771	0.88183445	fördert und gefordert, so z.B. Planungsfähigkeit, Reaktionsschnelligkeit und Kombinationsfähigkeit,	um nur einige zu nennen. Einige Videospiele sind bezüglich ihrer Anforderungen zwar nicht sportlich
micro_b038	a6	573	true	true	0.72396344	0.88246542	dividualität hervor, doch ist das, was an heutigen Schulen fehlt, eher der echte Gemeinschaftssinn,	der durch ein gleiches gemeinsames Auftreten unter Umständen gestärkt wird.
micro_b039	a6	566	true	true	0.50231838	0.50283891	Umwälzungen selbst fertig werden muss, doch bringt politische Macht auch politische Verantwortung,	in diesem Fall die Verantwortung, das ukrainische Volk vor der zu starken Einflussnahme der beiden G
micro_b040	a4	405	true	true	0.91522408	0.98866397	liches Urinieren eines Menschen höher als für das Liegenlassen eines Hundehaufens auf dem Gehsteig,	was unangemessen ist. Manche Hundebesitzer meinen, das Zahlen von Hundesteuer bezahle auch die Besei
micro_b040	a5	456	false	true	0.39653414	0.94881743	iegenlassen eines Hundehaufens auf dem Gehsteig, was unangemessen ist. Manche Hundebesitzer meinen,	das Zahlen von Hundesteuer bezahle auch die Beseitigung derartiger Verschmutzungen, doch würde man d
micro_b040	a6	576	true	true	0.98156869	0.99703431	steuer bezahle auch die Beseitigung derartiger Verschmutzungen, doch würde man dieser Logik folgen,	so wäre der steuerzahlende Bürger für kaum mehr ein Delikt zur Verantwortung zu ziehen.
micro_b041	a1	50	true	true	0.99476492	0.99202174	Geheimdienste müssen stärker kontrolliert werden,	um ein zu ausuferndes Überwachen zu verhindern. Geheimdienste neigen nämlich zu einem Eigenleben (St
micro_b041	a2	166	false	true	0.48594946	0.50137717	rndes Überwachen zu verhindern. Geheimdienste neigen nämlich zu einem Eigenleben (Staat im Staate),	das für demokratische Staaten unverantwortbar wäre. Zudem greifen Geheimdienste in die Privatsphäre
micro_b041	a4	340	true	true	0.99365634	0.98949474	enste in die Privatsphäre der Bürger massiv ein und müssen schon deshalb stark kontrolliert werden,	um Missbrauch zu verhindern. Parlamentarische Kontrolle macht aber die Arbeit von Geheimdiensten sch
micro_b042	a1	119	true	true	0.99904197	0.98942554	medizinisches Produkt bzw. eine medizinische Behandlung nicht aus moralischen Gründen einschränken,	solange sie niemand anderen schädigt. Aber ohne Rezeptpflicht fällt auch die ärztliche Beratung vor
micro_b042	a5	548	true	true	0.78456694	0.90877670	e außerdem dazu führen, dass sie als bequemerer Weg gegenüber anderen Verhütungsmethoden erscheint,	die gesundheitlich aber weniger Folgewirkungen haben. Beispielsweise könnte die Pille danach den Ein
micro_b042	a6	685	true	true	0.99550807	0.99408454	wirkungen haben. Beispielsweise könnte die Pille danach den Einsatz von Kondomen zurückgehen lassen	und so die Aidsneuansteckungen steigen lassen.
micro_b044	a1	84	true	true	0.99129152	0.99323082	Berlin Tegel ist als zentrumsnaher Flughafen gerade für Geschäftsreisende attraktiv	und sollte unbedingt offen bleiben. Er ist ein Wirtschaftsfaktor. Die negativen Auswirkungen des Flu
micro_b045	a1	118	true	true	0.99631846	0.99670875	on illegal erworbenen Steuerdaten von Bürgern macht sich der Staat selbst nicht nur zum Verbrecher,	sondern bezahlt auch noch Kriminelle. Zudem ist der Ankauf solcher CDs ist heute unnötig, da viele B
micro_b049	a3	186	true	true	0.99635917	0.99577749	ums wieder. Aber man kann sich in der Bachelor-Arbeit mal irren. Wenn diese stärker gewichtet wird,	könnte das viele gute Einzelleistungen des Studiums stark überdecken. Eine gute Benotung der Arbeit
micro_b054	a2	91	false	true	0.43933976	0.81967425	In Berlin herrscht seit Jahren Wohnungsmangel, sodass eine Nutzung des Tempelhofer Feldes,	das viel Freiraum bietet und zurzeit kaum bebaut ist, als Wohnraum eine sinnvolle Idee ist. Da die F
micro_b054	a2	116	true	true	0.95013362	0.93649322	ht seit Jahren Wohnungsmangel, sodass eine Nutzung des Tempelhofer Feldes, das viel Freiraum bietet	und zurzeit kaum bebaut ist, als Wohnraum eine sinnvolle Idee ist. Da die Fläche dem Land bzw. dem B
micro_b054	a2	145	false	true	0.24662632	0.57497352	, sodass eine Nutzung des Tempelhofer Feldes, das viel Freiraum bietet und zurzeit kaum bebaut ist,	als Wohnraum eine sinnvolle Idee ist. Da die Fläche dem Land bzw. dem Bund gehört, könnte es sogar f
micro_b054	a6	560	true	true	0.98611975	0.99711287	keiten geworden. Wenn man einen Kompromiss aus Grünfläche und sozialem Wohnungsgebiet finden würde,	sollte das Tempelhofer Feld auf jeden Fall für den Wohnungsbau zur Verfügung stehen.
micro_b055	a3	156	true	false	0.87108821	0.07405943	r das rezeptfreie Erhalten der „Pille danach“ in der Apotheke aus. Aus medizinischer Sicht gesehen,	ist die „Pille danach“ am wirksamsten, wenn sie möglichst schnell nach dem Verkehr eingenommen wird.
micro_b055	a3	195	true	true	0.98298866	0.97101319	anach“ in der Apotheke aus. Aus medizinischer Sicht gesehen, ist die „Pille danach“ am wirksamsten,	wenn sie möglichst schnell nach dem Verkehr eingenommen wird. Wenn jedoch immer erst ein Gang zum Ar
micro_b055	a4	366	true	true	0.96030712	0.98956233	ch immer erst ein Gang zum Arzt (mit Fahr- und Wartezeiten, möglichem Schamgefühl, etc.) nötig ist,	führt dies zu mehr ungewollten Schwangerschaften. Viele Gegner der Pille führen jedoch an, dass dami
micro_b055	a5	501	true	true	0.98683989	0.98626977	angerschaften. Viele Gegner der Pille führen jedoch an, dass damit die Beratung des Arztes wegfällt	und viele Frauen sie unnötig einnehmen. Allerdings ist es so, dass wir Apotheker gesetzlich dazu ver
micro_b055	a6	643	true	true	0.95741719	0.94488323	lerdings ist es so, dass wir Apotheker gesetzlich dazu verpflichtet sind, die Patienten aufzuklären	und dasselbe Fachwissen besitzen, wie Ärzte.
micro_b056	a1	60	true	false	0.89820606	0.44013816	Der Bruch des Völkerrechts sollte wohl mehr als genug sein,	um über eine Reaktion nachzudenken! Die Menschheit hat in ihrer Geschichte genug Fehler gemacht, ind
micro_b056	a2	157	true	true	0.99776185	0.98722816	n, um über eine Reaktion nachzudenken! Die Menschheit hat in ihrer Geschichte genug Fehler gemacht,	indem sie zulange gewartet hat und als sie dann reagierte, blieb meist nur noch der Krieg. Allerding
micro_b056	a2	188	true	true	0.99366355	0.99612302	denken! Die Menschheit hat in ihrer Geschichte genug Fehler gemacht, indem sie zulange gewartet hat	und als sie dann reagierte, blieb meist nur noch der Krieg. Allerdings kann in unserer zivilisierten
micro_b056	a2	216	true	true	0.94923347	0.97355258	n ihrer Geschichte genug Fehler gemacht, indem sie zulange gewartet hat und als sie dann reagierte,	blieb meist nur noch der Krieg. Allerdings kann in unserer zivilisierten Welt, in einem demokratisch
micro_b057	a1	51	true	false	0.54200900	0.16841379	Mit 63 in Rente, das hat sich wohl jeder verdient,	"der bis hierhin (ununterbrochen) geschuftet hat. Nur bleibt die Frage, ob es mit der frühen ""Freizei"
micro_b057	a2	168	true	true	0.98842001	0.97562033	"ununterbrochen) geschuftet hat. Nur bleibt die Frage, ob es mit der frühen ""Freizeit"" schöner wird,"	wenn man nicht weiß, was man den ganzen Tag machen soll und statistisch noch knapp 20 (!!!) Jahre zu
micro_b057	a2	224	true	true	0.96765018	0.93171972	"es mit der frühen ""Freizeit"" schöner wird, wenn man nicht weiß, was man den ganzen Tag machen soll"	und statistisch noch knapp 20 (!!!) Jahre zu leben hat? Auch übernimmt man so keine Verantwortung fü
micro_b057	a2	260	false	true	0.00012720	0.59417456	r wird, wenn man nicht weiß, was man den ganzen Tag machen soll und statistisch noch knapp 20 (!!!)	Jahre zu leben hat? Auch übernimmt man so keine Verantwortung für die Gesellschaft, wenn man aus per
micro_b057	a3	344	true	true	0.99324811	0.99148834	knapp 20 (!!!) Jahre zu leben hat? Auch übernimmt man so keine Verantwortung für die Gesellschaft,	wenn man aus persönlichen/privaten Gründen seine erfahrene, gesunde und qualitativ hochwertige Arbei
micro_b057	a4	496	true	false	0.56440175	0.44583496	ahrene, gesunde und qualitativ hochwertige Arbeitsfähigkeit früher als nötig aufgibt. Gerade jetzt,	da Fachkräftemängel auftreten, ist es unverantwortlich für die Wirtschaft und den Wohlstand mit 63 i
micro_b057	a4	527	true	true	0.72562915	0.81314462	hochwertige Arbeitsfähigkeit früher als nötig aufgibt. Gerade jetzt, da Fachkräftemängel auftreten,	ist es unverantwortlich für die Wirtschaft und den Wohlstand mit 63 in Rente zu gehen.
micro_b058	a4	336	true	true	0.99216276	0.99646449	chauer weniger spannend, als für den Spieler selbst, aber auch für aktuelle olympische Disziplinen,	ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf, muss man mehr als ein Freak sein, sich
micro_b058	a4	398	true	true	0.98839092	0.99388874	für aktuelle olympische Disziplinen, ich erinnere mich zuletzt an Curling oder 50 km Ski-Langlauf,	muss man mehr als ein Freak sein, sich das länger als in der Zusammenfassung reinzuziehen. Außerdem
micro_b058	a6	596	true	true	0.98697388	0.95073491	m ist die Hürde, Videospiele olympisch zu machen minimal, braucht es ja nicht mal Dopingkontrollen,	sondern nur eine neutrale Konsole. Und körperliche, geistige und insbesondere mentale Fähigkeiten ve
micro_b058	a7	726	true	true	0.99284512	0.99207896	ole. Und körperliche, geistige und insbesondere mentale Fähigkeiten verlangt so manches Videospiel,	wenn ich an das Finale des letzten Fifa-Turniers denke, mehr ab, als eine Kugel 20 Meter weit zu sto
micro_b058	a7	782	false	true	0.22645383	0.61324036	Fähigkeiten verlangt so manches Videospiel, wenn ich an das Finale des letzten Fifa-Turniers denke,	mehr ab, als eine Kugel 20 Meter weit zu stoßen.
micro_b061	a1	49	true	true	0.98894203	0.98820657	Höhere Geldstrafen für Hundehaufen sind sinnlos,	solange es nicht genügend Personal gibt, um sie durchzusetzen. Im Einzelfall mögen sie tatsächlich a
micro_b061	a1	90	true	true	0.79056948	0.68523115	Höhere Geldstrafen für Hundehaufen sind sinnlos, solange es nicht genügend Personal gibt,	um sie durchzusetzen. Im Einzelfall mögen sie tatsächlich auch abschreckend wirken, im Allgemeinen w
micro_b062	a5	391	true	true	0.99553949	0.99255812	hmer gehobenen Alters Anspruch auf den Renteneintritt hätten. Das schädigt den Standort Deutschland	und hinterlässt die Arbeitgeber ohne Übergangsfrist. Hier besteht die Gefahr, dass nicht ausreichend
micro_b064	a1	12	false	true	0.17688765	0.77553409	Ich glaube,	Berlin hatte mit zwei innerstädtisch Flughäfen Glück in Jahrzehnten keine Flugzeugkatastrophe erlebe
micro_d01	a4	174	false	true	0.44179389	0.99608153	zwei Leberflecke auf dem linken Arm und so etwas gibt es nur bei Geschwistern. Meine Eltern sagen,	das könnte auch reiner Zufall sein. Aber so viel Zufall gibt's doch gar nicht.
micro_d02	a3	173	true	true	0.99930966	0.90325832	ade in den Heimspielen blieb die Mannschaft oft hinter den Erwartungen zurück. Trauriger Höhepunkt:	Im ausverkauften Stadion 60:87 gegen schwächelnde Mannheimer verlieren. Zwar landete die Mannschaft
micro_d03	a2	103	true	true	0.96317774	0.99213421	in unsere Fußballmannschaft aufzunehmen war ganz klar ein Fehler. Er ist einfach kein Teamspieler,	macht häufig Alleingänge. Außerdem kommt er viel zu selten zum Training, wenngleich er auch ohne Tra
micro_d04	a5	354	true	true	0.99655789	0.99533325	bekannt gewordene Bedrohungen reagieren können. Aber ist für einen neuen Virus ein Schutz gefunden,	erhalten ihn alle in Windeseile mit dem automatischen Update.
micro_d05	a4	260	false	true	0.38958898	0.97480029	mehr, mit meinen Daten den Börsenwert dieses Unternehmens zu steigern. Facebook warnt eindringlich,	ich könnte den Kontakt zu meinen Freunden verlieren. Dabei werde ich jetzt erst recht Zeit für meine
micro_d06	a5	223	true	true	0.56653416	0.91975003	mpft stetig. Zwar könnte er noch einmal richtig die Werbetrommel rühren, aber das hilft auch nichts	wenn das ganze Viertel den Bach runter geht.
micro_d08	a3	164	true	true	0.99804807	0.99601364	nd waren und die Stimmung an der Börse insgesamt besser sein könnte, solltest du IBM Aktien kaufen,	wenn du investieren willst. Denn einerseits verkaufen sich deren Produkte auch in schlechten Zeiten
micro_d09	a4	121	true	false	0.56065440	0.47371832	ernsehen, denn zuviel Fernsehen macht auf Dauer dumm, wie bei deinem Bruder. Eine Ausnahme wäre es,	wenn du nur Quizshows sehen würdest, aber du guckst ja eher BigBrother und X-Diaries.
micro_d13	a1	57	true	true	0.99578047	0.99688751	Wann immer Peter auf einer Party eine Exfreundin trifft,	verzichtet er vorsichtshalber auf weiteren Alkoholkonsum. Als er gestern von Ralfs Party heimkam, wa
micro_d13	a2	155	true	true	0.96128553	0.97190374	, verzichtet er vorsichtshalber auf weiteren Alkoholkonsum. Als er gestern von Ralfs Party heimkam,	war er immer noch stocknüchtern. Folglich muss eine seiner Exfreundinnen dort gewesen sein. Zwar beh
micro_d13	a4	268	true	true	0.62655789	0.93909723	noch stocknüchtern. Folglich muss eine seiner Exfreundinnen dort gewesen sein. Zwar behauptet Ralf,	dass sie gemeinsam Eierlikör getrunken hätten. Aber den würde Peter auch ohne Exfreundin niemals anr
micro_d14	a1	12	false	true	0.18623482	0.80290282	Ich glaube,	der Fritz hat sich in seinem Leben noch nie geprügelt. Er soll sich ja als Junge hin und wieder mit
micro_d14	a4	263	false	true	0.28366360	0.70636624	ja wohl kaum als richtige Schlägerei durchgehen lassen. Außerdem verdrückt er sich meistens gleich	wenn's brenzlig wird. Gestern, als uns die Türsteher erst nicht reinlassen wollten, da war er auch g
micro_d14	a5	347	true	true	0.82300049	0.98384225	meistens gleich wenn's brenzlig wird. Gestern, als uns die Türsteher erst nicht reinlassen wollten,	da war er auch ganz plötzlich weg.
micro_d23	a3	179	true	true	0.51644135	0.92015642	eht eine gewisse Lebensgefahr dabei. Aber ich will diesen unglaublichen Moment der Freiheit spüren,	von dem Springer immer wieder berichten. Außerdem hat Jochen letztens einen Fallschirmsprung geschen
micro_k001	a6	458	true	true	0.99899739	0.99431592	Journalismus. Doch solange die Gebührenzahler keinen Einfluss auf die Verteilung der Gelder haben,	verärgert sie der Beitrag zu Recht.
micro_k002	a1	34	true	true	0.84747267	0.75905502	Im Grunde wäre es gerechtfertigt,	wenn alle Universitäten in Deutschland Studiengebühren verlangen würden. Solange sichergestellt wird
micro_k002	a2	197	true	true	0.84425628	0.98727024	n würden. Solange sichergestellt wird, dass das Geld wirklich direkt den Universitäten zugutekommt,	kann durchaus weiterhin von sozialer Gerechtigkeit gesprochen werden. Wer später studiert, entscheid
micro_k002	a4	399	true	true	0.84949410	0.98544139	sich ohnehin bereits in früheren Jahren. Es ist jederzeit möglich, einen Studienkredit aufzunehmen	oder sich ein Stipendium zu erarbeiten. Nichtakademiker über Steuerabgaben dazu zu verpflichten, and
micro_k004	a5	566	true	true	0.94808900	0.99253678	che Länder, beispielsweise die Niederlande, Schweden oder Großbritannien, haben das bereits erkannt	und die Öffnungszeiten der Geschäfte erfolgreich angepasst.
micro_k006	a1	50	true	true	0.98555827	0.99626201	Wenn Deutschland die Todesstrafe einführen würde,	könnten verurteilte Verbrecher nicht vorzeitig entlassen werden oder ausbrechen und neue Straftaten
micro_k006	a1	114	true	true	0.84421515	0.92058277	nd die Todesstrafe einführen würde, könnten verurteilte Verbrecher nicht vorzeitig entlassen werden	oder ausbrechen und neue Straftaten begehen. Allerdings bringt der Tod den Betroffenen und Angehörig
micro_k006	a1	130	true	true	0.97575915	0.97120631	fe einführen würde, könnten verurteilte Verbrecher nicht vorzeitig entlassen werden oder ausbrechen	und neue Straftaten begehen. Allerdings bringt der Tod den Betroffenen und Angehörigen nicht mehr al
micro_k006	a2	228	false	true	0.04738574	0.95034468	n und neue Straftaten begehen. Allerdings bringt der Tod den Betroffenen und Angehörigen nicht mehr	als wenn die Verbrecher eine Haftstrafe langjährige bekommen würden. Außerdem leben wir nicht mehr i
micro_k008	a1	83	true	true	0.98687243	0.99595547	Wenn es höhere Geldstrafen für auf Gehwegen hinterlassene Hundehaufen geben würde,	würde es vermutlich weniger Hundehaufen geben, was wiederum in allgemein sauberere Bürgersteige resu
micro_k009	a2	88	true	true	0.96765655	0.99459100	Deutschland sollte auf keinen Fall die Todesstrafe einführen. Gäbe es eine Todesstrafe,	würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen und über deren
micro_k009	a2	174	true	true	0.84745449	0.92813259	Todesstrafe, würde das bedeuten, dass es Menschen erlaubt werden soll, sich über andere zu stellen	und über deren Leben zu entscheiden. Die Todesstrafe auszuführen wäre Mord und müsste ebenfalls mit
micro_k009	a3	249	true	true	0.96804672	0.99187297	h über andere zu stellen und über deren Leben zu entscheiden. Die Todesstrafe auszuführen wäre Mord	und müsste ebenfalls mit der Todesstrafe bestraft werden. Was aber ist mit Straftätern, die wirklich
micro_k009	a4	420	false	true	0.47232914	0.80221826	mit Straftätern, die wirklich schlimme Verbrechen begangen haben, wie etwa Mord oder Vergewaltigung	- soll es diesen einfach erlaubt sein, weiterzuleben, obwohl sie ein anderes Leben genommen oder zer
micro_k009	a4	422	true	false	0.52524102	0.03308186	t Straftätern, die wirklich schlimme Verbrechen begangen haben, wie etwa Mord oder Vergewaltigung -	soll es diesen einfach erlaubt sein, weiterzuleben, obwohl sie ein anderes Leben genommen oder zerst
micro_k009	a6	537	true	false	0.88034487	0.08245777	einfach erlaubt sein, weiterzuleben, obwohl sie ein anderes Leben genommen oder zerstört haben? Ja,	denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein und von den eigenen Ged
micro_k009	a6	614	true	true	0.67762899	0.95838559	er zerstört haben? Ja, denn es ist eine sehr viel schlimmere Strafe, für immer im Gefängnis zu sein	und von den eigenen Gedanken gequält zu werden, als schnell und einfach durch eine Injektion getötet
micro_k009	a6	662	false	true	0.24451028	0.90882021	l schlimmere Strafe, für immer im Gefängnis zu sein und von den eigenen Gedanken gequält zu werden,	als schnell und einfach durch eine Injektion getötet zu werden.
micro_k010	a2	223	true	true	0.98901856	0.99411547	ch verfolgen (wollen). Teilweise laufen nur Sendungen für die ältere Generation zu Spielfilmzeiten,	wieso sollten also alle dafür zahlen? Werbung gibt es inzwischen auf allen Kanälen, also ergibt sich
micro_k010	a5	450	false	true	0.28381443	0.54964370	l für die im Moment zahlenden Zuschauer der Öffentlich Rechtlichen Sender. Trotzdem muss man sagen,	dass es dann wahrscheinlich viel weniger dieser Sender gibt, wenn nicht mehr ganz Deutschland zahlen
